이름,높이,소재지
지리산(통영),399.3m,경상남도 통영시 사량면
천관산,724.3m,"전라남도 장흥군 관산읍, 대덕읍"
천마산,810.3m,"경기도 남양주시 오남읍, 화도읍"
천성산,920.2m,"경상남도 양산시 하북면, 상북면, 웅상읍"
천태산,714.3m,"충청북도 영동군 양산면, 충청남도 금산면 제원면"
청량산,869.7m,경상북도 봉화군 명호면
추월산,731.2m,"전라남도 담양군 용면, 전라북도 순창군 복흥면"
축령산,887.1m,"경기도 남양주시 수동면, 가평군 상면"
치악산,1282m,"강원도 원주시, 횡성군, 영월군"
칠갑산,559.7m,"충청남도 청양군 대치면, 정산면, 장평면"
태백산,1566.7m,"강원도 태백시, 경상북도 봉화군 석포면"
태화산,1027.5m,"강원도 영월군 영월읍, 충청북도 단양군 영춘면"
팔공산,1192.3m,"경상북도 군위군 부계면, 영천시 신녕면, 대구광역시 동구"
팔봉산,328.2m,강원도 홍천군 서면 팔봉리
팔영산,606.9m,전남 고흥군 영남면 우천리
한라산,1947.3m,"제주도 제주시, 서귀포시"
화악산(중봉),1468.3m,"경기도 가평군 북면, 강원도 화천군 사내면"
화왕산,757.7m,경상남도 창녕군 창녕읍 옥천리 일대
황매산,1113.1m,"경상남도 합천군 대병면, 가회면, 산청군 차황면."
황석산,1192.5m,경상남도 함양군
황악산,1111.4m,경상북도 김천시 대항면 운수리
황장산,1078.9m,경상북도 문경시 동로면
희양산,996.4m,"경상북도 문경시 가은읍, 충청북도 괴산군 연풍면,"
